,Country,Total,Albania,Armenia,Australia,Austria,Azerbaijan,Belgium,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Iceland,Ireland,Israel,Italy,Latvia,Lithuania,Luxembourg,Malta,Montenegro,Netherlands,Norway,Poland,Portugal,San Marino,Serbia,Slovenia,Spain,Sweden,Switzerland,Ukraine,United Kingdom,Rest of the World
1,Austria,258,7,8,7,"","",12,10,7,"",5,7,12,4,"",12,10,8,12,6,"",12,4,10,7,8,12,12,7,6,"",8,10,7,12,7,1,8
2,Switzerland,214,8,7,1,"",1,8,8,6,"",10,12,6,2,4,7,6,7,"","",4,8,3,8,2,7,10,3,12,10,10,7,8,12,10,"",7,""
3,France,180,12,12,"",6,"","","",10,8,"",6,8,"","",10,12,4,8,"","",6,"",12,8,6,2,2,3,"",5,12,3,8,7,8,"",2
4,Italy,159,"","","","",10,5,12,3,3,8,4,"",6,12,5,4,2,"",3,"","",10,"",4,"","","",8,12,12,"",12,4,"",12,8,""
5,Netherlands,133,3,3,"",2,3,3,"",8,7,"",1,"",3,7,"",8,10,10,"","","",8,7,"",2,"",5,10,5,"","",4,10,8,6,"",""
6,Sweden,126,4,6,6,5,"",6,3,2,"",7,8,10,"","",4,7,12,5,"","","",1,5,1,"",8,10,"","","","",6,"","",10,"",""
7,Latvia,116,"",1,10,4,"",7,7,"","",12,3,"","",8,"","","","",7,"","",12,2,"","",3,6,"",7,8,1,"","","","",6,12
8,Greece,105,6,"",12,"","","",4,12,"","","",3,8,5,6,"","",3,12,"","","","",10,12,"","",4,1,"",6,"","","","","",1
9,Estonia,98,"",2,3,3,7,10,5,"","","","",4,"","","","",3,"","",10,1,7,3,3,"","",4,"",3,7,3,7,"","",5,5,3
10,Finland,88,"",10,2,12,"",4,"","","",6,10,"","","","","",1,4,"",1,10,"","",6,"","",8,"","","","","","",6,3,"",5
11,"United Kingdom",88,"","","",7,"","","","",10,4,5,5,"","","","",5,2,"",12,"","",6,"","","",7,1,2,2,"","",6,"",4,10,""
12,Malta,83,"",5,8,10,"","","","",2,"","",7,"","",8,"","",6,8,5,5,"","","",5,"","","","",1,"","",5,1,"","",7
13,Germany,77,"","","","",2,1,"","",12,"","",1,"",2,"",5,"","",10,8,2,5,4,"","","","","","","",10,"",3,"","",12,""
14,Israel,60,5,"","","",12,"",6,5,"",3,"",2,7,1,3,1,"",7,"","","","",1,"","",5,"","","","","","","","","",2,""
15,Ukraine,60,"",4,"","",8,"",2,"","",2,"","","",6,"","","","",4,2,"",2,"","","","",1,"",8,4,4,5,2,5,1,"",""
16,Albania,45,"","","","","","","",4,"","","","",12,"","",2,"","","",3,"","","","",10,1,"",5,4,"","","",1,3,"","",""
17,Denmark,45,"","",4,8,"","","","",1,"","","","",10,"","","","","",7,"","","","","","","","","","",5,"","","","","",10
18,Armenia,42,"","","","","","","","","",1,"","",10,3,"",3,"",1,5,"",4,"","",12,1,"","","","","",2,"","","","","",""
19,Portugal,37,1,"","","",6,"","","",4,"","","","","","","","","","","","",6,"","","",7,"","","",6,"",1,"","",2,4,""
20,Lithuania,34,"","","","","","","","",5,"","","","","","","","","","","",7,"","","",3,4,"",6,"",3,"","","","","","",6
21,Spain,27,10,"","","",5,"","","","","","","",5,"","","","","","","","","","",5,"","","","","","","","","",2,"","",""
22,Luxembourg,23,"","","",1,"","","","","","","","","","","","","","",2,"",3,"","","",4,6,"","","","","","","","","",3,4
23,Norway,22,"","","","","","",1,"",6,"","","","","",1,"",6,"","","","","","","","","","",2,"","","",2,"",4,"","",""
24,Poland,17,"","",5,"",4,2,"","","","",2,"",1,"",2,"","","",1,"","","","","","","","","","","","","","","","","",""
25,San Marino,9,2,"","","","","","",1,"","","","","","","","","","","",6,"","","","","","","","","","","","","","","","",""
26,Iceland,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
